,flight plans,flight tracks,weather cubes
15,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-23/Flight_Plan_KLAX_KJFK_JBU124.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-23/Flight_Track_KLAX_KJFK_JBU124.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-23/Flight_Plan_KLAX_KJFK_JBU124.nc
16,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-22/Flight_Plan_KLAX_KJFK_DAL2279.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-22/Flight_Track_KLAX_KJFK_DAL2279.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-22/Flight_Plan_KLAX_KJFK_DAL2279.nc
17,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-22/Flight_Plan_KLAX_KJFK_DAL1934.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-22/Flight_Track_KLAX_KJFK_DAL1934.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-22/Flight_Plan_KLAX_KJFK_DAL1934.nc
18,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-22/Flight_Plan_KLAX_KJFK_DAL1876.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-22/Flight_Track_KLAX_KJFK_DAL1876.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-22/Flight_Plan_KLAX_KJFK_DAL1876.nc
19,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-22/Flight_Plan_KLAX_KJFK_JBU324.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-22/Flight_Track_KLAX_KJFK_JBU324.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-22/Flight_Plan_KLAX_KJFK_JBU324.nc
20,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-22/Flight_Plan_KLAX_KJFK_AAL238.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-22/Flight_Track_KLAX_KJFK_AAL238.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-22/Flight_Plan_KLAX_KJFK_AAL238.nc
21,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-22/Flight_Plan_KLAX_KJFK_JBU1224.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-22/Flight_Track_KLAX_KJFK_JBU1224.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-22/Flight_Plan_KLAX_KJFK_JBU1224.nc
22,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-22/Flight_Plan_KLAX_KJFK_DAL468.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-22/Flight_Track_KLAX_KJFK_DAL468.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-22/Flight_Plan_KLAX_KJFK_DAL468.nc
23,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-22/Flight_Plan_KLAX_KJFK_AAL292.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-22/Flight_Track_KLAX_KJFK_AAL292.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-22/Flight_Plan_KLAX_KJFK_AAL292.nc
24,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-22/Flight_Plan_KLAX_KJFK_JBU24.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-22/Flight_Track_KLAX_KJFK_JBU24.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-22/Flight_Plan_KLAX_KJFK_JBU24.nc
25,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-22/Flight_Plan_KLAX_KJFK_ASA1412.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-22/Flight_Track_KLAX_KJFK_ASA1412.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-22/Flight_Plan_KLAX_KJFK_ASA1412.nc
26,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_AAL2.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_AAL2.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_AAL2.nc
27,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_AAL184.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_AAL184.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_AAL184.nc
28,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_JBU424.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_JBU424.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_JBU424.nc
29,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_AAL28.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_AAL28.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_AAL28.nc
30,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_JBU2024.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_JBU2024.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_JBU2024.nc
31,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_ASA94.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_ASA94.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_ASA94.nc
32,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_JBU1424.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_JBU1424.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_JBU1424.nc
33,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_ASA72.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_ASA72.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_ASA72.nc
34,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_DAL468.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_DAL468.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_DAL468.nc
35,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_ASA1406.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_ASA1406.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_ASA1406.nc
36,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_AAL24.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_AAL24.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_AAL24.nc
37,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_JBU224.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_JBU224.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_JBU224.nc
38,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_DAL1891.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_DAL1891.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_DAL1891.nc
39,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_AAL10.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_AAL10.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_AAL10.nc
40,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-16/Flight_Plan_KLAX_KJFK_ASA1412.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-16/Flight_Track_KLAX_KJFK_ASA1412.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-16/Flight_Plan_KLAX_KJFK_ASA1412.nc
41,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-12/Flight_Plan_KLAX_KJFK_AAL4.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-12/Flight_Track_KLAX_KJFK_AAL4.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-12/Flight_Plan_KLAX_KJFK_AAL4.nc
42,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-12/Flight_Plan_KLAX_KJFK_AAL238.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-12/Flight_Track_KLAX_KJFK_AAL238.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-12/Flight_Plan_KLAX_KJFK_AAL238.nc
43,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-12/Flight_Plan_KLAX_KJFK_DAL468.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-12/Flight_Track_KLAX_KJFK_DAL468.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-12/Flight_Plan_KLAX_KJFK_DAL468.nc
44,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-12/Flight_Plan_KLAX_KJFK_AAL24.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-12/Flight_Track_KLAX_KJFK_AAL24.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-12/Flight_Plan_KLAX_KJFK_AAL24.nc
45,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-12/Flight_Plan_KLAX_KJFK_DAL1922.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-12/Flight_Track_KLAX_KJFK_DAL1922.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-12/Flight_Plan_KLAX_KJFK_DAL1922.nc
46,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-12/Flight_Plan_KLAX_KJFK_AAL10.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-12/Flight_Track_KLAX_KJFK_AAL10.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-12/Flight_Plan_KLAX_KJFK_AAL10.nc
47,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-15/Flight_Plan_KLAX_KJFK_AAL2.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-15/Flight_Track_KLAX_KJFK_AAL2.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-15/Flight_Plan_KLAX_KJFK_AAL2.nc
48,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-15/Flight_Plan_KLAX_KJFK_DAL1862.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-15/Flight_Track_KLAX_KJFK_DAL1862.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-15/Flight_Plan_KLAX_KJFK_DAL1862.nc
49,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-15/Flight_Plan_KLAX_KJFK_QFA11D.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-15/Flight_Track_KLAX_KJFK_QFA11D.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-15/Flight_Plan_KLAX_KJFK_QFA11D.nc
50,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-15/Flight_Plan_KLAX_KJFK_JBU2024.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-15/Flight_Track_KLAX_KJFK_JBU2024.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-15/Flight_Plan_KLAX_KJFK_JBU2024.nc
51,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-15/Flight_Plan_KLAX_KJFK_JBU324.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-15/Flight_Track_KLAX_KJFK_JBU324.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-15/Flight_Plan_KLAX_KJFK_JBU324.nc
52,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-15/Flight_Plan_KLAX_KJFK_ASA94.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-15/Flight_Track_KLAX_KJFK_ASA94.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-15/Flight_Plan_KLAX_KJFK_ASA94.nc
53,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-15/Flight_Plan_KLAX_KJFK_AAL118.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-15/Flight_Track_KLAX_KJFK_AAL118.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-15/Flight_Plan_KLAX_KJFK_AAL118.nc
54,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-15/Flight_Plan_KLAX_KJFK_AAL24.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-15/Flight_Track_KLAX_KJFK_AAL24.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-15/Flight_Plan_KLAX_KJFK_AAL24.nc
55,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-15/Flight_Plan_KLAX_KJFK_JBU224.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-15/Flight_Track_KLAX_KJFK_JBU224.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-15/Flight_Plan_KLAX_KJFK_JBU224.nc
56,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-10/Flight_Plan_KLAX_KJFK_AAL118.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-10/Flight_Track_KLAX_KJFK_AAL118.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-10/Flight_Plan_KLAX_KJFK_AAL118.nc
57,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-10/Flight_Plan_KLAX_KJFK_QFA11.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-10/Flight_Track_KLAX_KJFK_QFA11.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-10/Flight_Plan_KLAX_KJFK_QFA11.nc
58,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-10/Flight_Plan_KLAX_KJFK_JBU24.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-10/Flight_Track_KLAX_KJFK_JBU24.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-10/Flight_Plan_KLAX_KJFK_JBU24.nc
59,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-10/Flight_Plan_KLAX_KJFK_JBU224.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-10/Flight_Track_KLAX_KJFK_JBU224.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-10/Flight_Plan_KLAX_KJFK_JBU224.nc
60,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-24/Flight_Plan_KLAX_KJFK_DAL2279.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-24/Flight_Track_KLAX_KJFK_DAL2279.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-24/Flight_Plan_KLAX_KJFK_DAL2279.nc
61,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-24/Flight_Plan_KLAX_KJFK_DAL1907.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-24/Flight_Track_KLAX_KJFK_DAL1907.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-24/Flight_Plan_KLAX_KJFK_DAL1907.nc
62,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-24/Flight_Plan_KLAX_KJFK_DAL2197.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-24/Flight_Track_KLAX_KJFK_DAL2197.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-24/Flight_Plan_KLAX_KJFK_DAL2197.nc
63,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-24/Flight_Plan_KLAX_KJFK_JBU1424.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-24/Flight_Track_KLAX_KJFK_JBU1424.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-24/Flight_Plan_KLAX_KJFK_JBU1424.nc
64,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-24/Flight_Plan_KLAX_KJFK_QFA11.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-24/Flight_Track_KLAX_KJFK_QFA11.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-24/Flight_Plan_KLAX_KJFK_QFA11.nc
65,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-24/Flight_Plan_KLAX_KJFK_ASA1406.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-24/Flight_Track_KLAX_KJFK_ASA1406.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-24/Flight_Plan_KLAX_KJFK_ASA1406.nc
66,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Plans/2019-01-24/Flight_Plan_KLAX_KJFK_AAL274.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Flight Tracks/2019-01-24/Flight_Track_KLAX_KJFK_AAL274.txt,/home/lab/PycharmProjects/Flight-Track-Prediction/data/Weather Cubes/2019-01-24/Flight_Plan_KLAX_KJFK_AAL274.nc
